initial_velocity,launch_angle,landing_distance
31.73588219084608,36.66235996417151,61.843416962144445
48.646147901657145,68.9483246194996,63.79359795906408
42.724791712001206,42.80852118564792,88.41554753216957
23.666877605194934,29.138495035149436,37.54978349359715
7.536897349291721,70.53056633785373,3.489332108761342
41.58054541085349,79.98023713002914,28.549893056235184
49.84865766832574,48.88021939218392,99.32442000552508
39.60443368312297,76.13360109176996,36.57916535493042
43.23413258048352,27.314367122023835,83.88501194177105
25.27448608895421,19.04115906060465,32.46540969723464
47.93229622664251,52.432224411561606,92.15922561086397
15.288926247655823,57.01904790840997,18.513318330832867
32.81577082060531,35.071390262298834,64.07839367050195
10.110091648983307,57.01012369149597,8.828408486254624
28.413846540670697,64.06228742149474,41.123008306708414
28.407357550039702,69.65270502229781,34.20096874406613
29.83580774485185,49.265658007477036,55.9222726717458
44.44941211962553,38.243800634867796,92.70652783363882
11.030685280278833,12.014787341933728,4.894564022686332
38.98117650531285,53.42166859474253,73.77758955777821
36.68358956446506,24.90749130562375,65.87419938683952
11.13671640140464,11.018126596751735,4.602090152230303
20.776440146296864,51.29423807982432,32.77487517347211
22.650982029487956,40.62324454166104,38.77540682716809
45.68714125221868,34.37788269163103,94.55432320660103
28.129527012191485,64.85571089188002,39.697842132866356
22.844425204457156,53.54606901595115,36.977733646203745
43.80636689360353,76.46644365603495,39.66912861232816
11.618306641806708,74.86113376130461,6.312468108379081
27.14523318857922,28.077107180927083,45.53815205746973
25.661109030721757,78.6022802699834,17.900721103942967
27.16781422967913,33.012612720125574,48.594387893429946
33.50303844425266,26.810193314473516,60.26117864394568
8.413849764889877,19.021580533745446,4.32665692893111
10.762062753099759,20.633188545860605,7.422206779387264
11.247222769223455,54.86123213622502,11.073037796807718
13.184603797961516,34.19670983267042,14.891416547337199
45.35547844577053,43.177314818401065,93.98137974996044
35.04009823344622,22.06239098411409,58.32520617967629
13.653005846390185,12.86080313865352,7.843422998788965
12.602077838247403,29.501323732237104,12.755823410830914
12.965471792453606,16.20917736299389,8.69302718922581
10.428614199527036,42.254513762290806,10.255270962179834
14.285017328260663,35.498890273365284,17.448369852308378
27.65377718846856,58.32763800405557,45.10670966994704
6.769046292849453,65.95872792363298,3.3565643871486994
33.255517527090845,15.723132236421034,43.98845109398782
44.31103808480498,74.46106803722692,45.340763634095204
7.748508193468869,29.38143537030426,5.060922013758192
41.279057590687756,62.37817832685609,66.54576568928034
13.30344587103698,24.654452633569722,12.605780864025308
21.67124462561219,43.916608963371495,36.302303816672485
32.82146471886332,35.82395476988407,64.36596984226678
25.814062225991655,62.32296566936296,37.75923990433406
6.650744130076905,27.67058610408145,3.618372422493539
37.10073136480486,72.66447863810396,41.415889658814194
28.025484895204976,47.247943968572095,52.1465724856835
9.822740510289922,41.318865677641824,9.143747818422433
28.967776990476043,26.972935254431075,49.206110158524226
17.115945392722143,36.409891417323585,24.106383921173986
5.903203899997687,32.54554159082248,3.1510867240208404
14.51516031484451,32.924814652454025,17.419718415910804
10.389295931866304,72.33690965179264,5.888491069396737
31.71166040993219,57.53716234011427,54.57206256112632
40.51270573733022,44.89095392503401,82.81949179551181
8.911412963934065,47.59745792729834,7.613142063621512
31.407850310939562,62.1807631929031,49.03694748616426
24.42467958033557,18.93062119568946,30.568887205713807
17.769915760942602,35.41576074790446,25.464366108967475
34.06627585992206,49.95448132682383,65.64727718513758
21.024352665403082,79.05606741550858,12.840167256976082
32.25986687105993,26.605875421519613,57.01659911064877
9.580211267918168,20.70013974290324,5.952745577646228
16.068097777302867,21.247696128168897,16.03551770939316
13.39551608230876,29.956661808569297,14.38428277299049
12.801811788263967,72.77357972384976,8.430831889438869
8.6105185547739,46.71579726991783,7.153646348787592
23.467857214534767,78.76650318360245,15.530671211680962
10.041750597562356,37.84989193320192,9.336503339674872
48.6261694973916,70.58549881257862,59.741154449414466
41.7682431927176,28.05319789314579,81.27459739431711
12.689941432552962,56.80502539471017,13.406170320968924
46.82191951074136,48.973402510975085,93.5023785153775
30.722571026145495,29.59853655621989,55.70012887615232
39.62718199363716,23.093062399026635,70.35986812502074
19.565565638190968,39.780550703149174,30.713992733794512
27.842467040800475,26.968681269055615,46.40681484395415
10.167657113264159,52.74340297091428,9.419463581485559
17.98837489581151,50.68667549958286,26.190685150380318
11.946322187339103,43.67980712983722,13.20403940364236
28.966524464821365,13.627647577569883,31.883301388535163
20.147192518726428,19.409027385728198,22.439383396943573
7.851873671274548,79.29721626729616,2.1959117634273784
19.505923023862536,66.69121120982444,22.022150515685567
16.458829464369373,57.705190555675046,20.743585927962656
39.210253695035895,51.6947118425491,75.79445509951998
26.220928484757128,38.8288639903088,47.94302626913353
20.69907199443479,75.06704009734781,16.668254544539
42.377873350447814,77.55188374665588,35.583205058321546
10.593375056849514,61.1607232642551,8.899691099899373
47.225320556946706,22.68631463159621,86.5949523866283
7.992332031504987,61.878445450304135,5.159864246134103
30.851290093096036,68.92801437307904,39.11115069689365
11.289756948183028,65.66871183019231,8.89580902646576
14.073229402148504,21.455916000599316,12.671866263335662
12.391960906894681,67.02023041619674,10.085771732492466
34.933874931329,46.614579733838355,69.3013794435788
21.147371785557613,71.40403785691758,20.84228371706986
22.66002983401859,67.1619607630104,27.281756420555507
24.76107088565983,36.38611005974353,43.562599899815076
25.82059035513229,31.096451191489944,44.13173084139191
38.6424221079313,45.19042730647354,78.48266795864404
15.44957128160678,72.9702201292198,11.603091149863603
22.275104961794515,48.0487002779792,37.332233088507024
45.79124499340461,53.69665971397944,86.77512717324684
10.260411831876382,75.78824865294325,4.7412251447652105
33.2468623882138,33.44339302599603,64.46290494264753
11.267243269852425,65.58176324892071,8.883780700087254
32.90327401678311,47.34227643834251,64.16883243615746
45.225166237293095,65.20180478571714,67.54592915340224
11.825369587973803,31.820544745688377,11.800350205082083
16.18201129165096,62.076240480087385,18.465519490166965
6.508959563110072,49.89227794099216,4.123920552010355
39.31064085833108,71.37359457332246,46.848419756087836
20.393678692215836,67.48801132704091,22.994883346288532
9.978428162984326,69.25166042141628,6.2562967743064295
10.73698980493921,37.81011033922571,10.58485359266568
40.878291460079915,20.494219914414167,69.07183323217153
15.316312785468867,60.55767978751464,17.39844714972723
37.401644144573346,54.88033430197081,69.10037903483176
36.2276800010195,47.99071103433173,71.70199054329566
16.330957650812874,34.19871954527436,21.764732419462934
13.171897256064154,73.59153929335397,8.503400869017293
31.25263076447542,38.05959917345479,60.9410824897047
25.79026116398597,76.30983377282708,21.328612755508484
11.900813140223608,51.036088241175804,12.772181172290288
27.76499054980097,52.801796480425345,49.1621217905689
5.814958271937823,71.0486736260906,2.0636628020684995
46.94532271176256,49.55932285124462,93.23649184410614
36.34928707446015,74.5749566824107,36.598564439652904
36.82573854410293,20.677733003998295,60.342345932940006
30.93297620750659,52.470053246799914,56.82538311833015
24.08588020860737,61.5510964937306,34.858280977202945
47.04651566460567,74.78979590347434,47.108332938465736
25.287771713185943,17.92666320885287,31.170877215837702
49.317853953305054,68.72286605121539,65.1325892470639
10.609820654147008,74.45893178321606,5.4698674683335655
44.145336292795776,46.318663998825045,89.98724878263363
31.607394608521815,37.93018927090912,61.825909548505244
7.4642737469914096,33.46380691521307,5.048529872174949
41.12840518691051,10.3242416103222,45.211085227003366
20.007462726101487,37.87180855136603,31.552285935954497
29.18280213220653,74.38989314889324,28.328852705835086
20.585569746468256,34.28672413273594,32.12730503412724
38.18755616493868,41.6552558622865,78.28443896540763
15.107217032299188,41.67076612928854,19.99955987521213
11.338565917090992,22.34708905543563,8.71659045256123
27.426549773276587,39.32478146531835,51.192800068999404
46.168065548064504,35.367572938164315,95.95512420713463
31.126475762511955,54.25850015436713,56.03832925631652
5.5892505464750135,56.44761604116974,2.8638399470860065
13.011618509138815,77.27492222286186,6.610027773670796
11.689822748890084,39.023688660891665,12.487686558731864
8.840735063538974,79.78119762921631,2.633036233784333
27.598775464905916,51.67695121240307,49.34892508282036
8.018441482479236,62.49723292794245,5.114056508719512
14.445751689301359,72.86380026084996,10.388111546834464
14.231283821690322,23.34814044645666,13.747269090146132
6.64473505316427,43.04468615769995,4.3539467836764345
30.41785099681774,14.599604759984665,36.31497079106279
39.89874275127548,41.73021843236194,82.27087212198067
28.597562119741102,40.853392285675966,54.38339438914281
23.03433773938967,49.17482319157525,38.98549412921214
11.985811066882063,22.73496913466898,9.805471867498945
43.78035294560828,76.2280823493543,40.27149665663868
21.798919232588883,28.952127120048765,32.834236394614365
33.97997944575571,38.61139197686675,67.96529431313436
6.142386004715519,20.930681815633324,2.5230818011897824
37.21875029813289,56.12467593371059,67.44552358676378
6.219319662656757,25.538051335306463,3.004140236291682
15.398365846463212,57.03249205191099,18.73863332932307
5.886974198946387,17.28760073892017,1.9772605143380777
40.99622384179352,22.498126343803353,72.5951950310664
34.37357485333436,26.672794673270857,62.25360047459857
9.474862674170533,27.022053369961785,7.075133769052649
37.50201193350466,69.89875276744,47.38444146947968
42.359893905514625,37.80284707329184,87.96702486886724
35.063831145679075,24.348900679107466,61.365795387702164
18.191647861745597,72.74350729647838,15.416248312485358
